Proteina,U-statistic,p-value
LPU83_1502,6.000000,0.700000
corA,4.000000,1.000000
LPU83_1844,3.000000,0.700000
atpE,1.000000,0.200000
rnhB,6.000000,0.700000
ispE,8.000000,0.200000
mntH1,7.000000,0.400000
LPU83_1865,6.000000,0.700000
aroA,4.000000,1.000000
argS,2.000000,0.400000
tatA,6.000000,0.700000
pcm7,3.000000,0.700000
tex,4.000000,1.000000
LPU83_1885,5.000000,1.000000
LPU83_1542,5.000000,1.000000
LPU83_1890,3.000000,0.700000
CMO,1.000000,0.200000
gstR,6.000000,0.700000
LPU83_1552,6.000000,0.700000
LPU83_1019,8.000000,0.200000
LPU83_1906,9.000000,0.100000
LPU83_1024,6.000000,0.700000
LPU83_1029,6.000000,0.700000
LPU83_1911,3.000000,0.700000
rplA,0.000000,0.100000
LPU83_1916,4.000000,1.000000
LPU83_1034,4.000000,1.000000
gpmB3,6.000000,0.700000
tufB,1.000000,0.200000
LPU83_1044,7.000000,0.400000
rplB,0.000000,0.100000
phaC,3.000000,0.700000
ialB,6.000000,0.700000
rpmC,1.000000,0.200000
LPU83_1936,3.000000,0.700000
ctaG,0.000000,0.100000
rpsN,0.000000,0.100000
ispH,3.000000,0.700000
rpmD,0.000000,0.100000
LPU83_1064,6.000000,0.700000
rpsK,5.000000,1.000000
LPU83_1069,3.000000,0.700000
yedY,3.000000,0.700000
rimJ,6.000000,0.700000
LPU83_1611,4.000000,1.000000
LPU83_1079,0.000000,0.100000
LPU83_1621,7.000000,0.400000
LPU83_1985,4.000000,1.000000
LPU83_1094,5.000000,1.000000
LPU83_1990,5.000000,1.000000
LPU83_1106,9.000000,0.100000
dctB,9.000000,0.100000
LPU83_1111,3.000000,0.700000
clpX,1.000000,0.200000
betB,1.000000,0.200000
LPU83_1646,6.000000,0.700000
qor1,4.000000,1.000000
nuoB,0.000000,0.100000
LPU83_1126,3.000000,0.700000
nuoF,5.000000,1.000000
gst,2.000000,0.400000
LPU83_2025,5.000000,1.000000
nuoJ,7.000000,0.400000
LPU83_1136,6.000000,0.700000
birA,6.000000,0.700000
LPU83_1141,4.000000,1.000000
macB1,7.000000,0.400000
LPU83_1146,7.000000,0.400000
LPU83_2045,3.000000,0.700000
rtxD,4.000000,1.000000
dnaE1,6.000000,0.700000
LPU83_2050,5.000000,1.000000
LPU83_0423;LPU83_2050,0.000000,0.100000
potA3,1.000000,0.200000
LPU83_1689,6.000000,0.700000
glpK1,2.000000,0.400000
glpK1;glpK3,1.000000,0.200000
LPU83_2065,5.000000,1.000000
aidB,3.000000,0.700000
ilvE,4.000000,1.000000
rrpX,5.000000,1.000000
LPU83_2080,9.000000,0.100000
LPU83_1191,9.000000,0.100000
macB3,4.000000,1.000000
cycF,8.000000,0.200000
selO,5.000000,1.000000
ptrB,5.000000,1.000000
LPU83_1216,3.000000,0.700000
LPU83_2110,6.000000,0.700000
ptsP1,4.000000,1.000000
cobQ,3.000000,0.700000
msrB1,3.000000,0.700000
cobN,5.000000,1.000000
mnhE,9.000000,0.100000
cobA,3.000000,0.700000
LPU83_2130,5.000000,1.000000
ruvX,3.000000,0.700000
LPU83_2140,6.000000,0.700000
LPU83_2145,3.000000,0.700000
LPU83_2150,4.000000,1.000000
accB,2.000000,0.400000
znuC,6.000000,0.700000
panE,6.000000,0.700000
LPU83_2160,6.000000,0.700000
pbp,6.000000,0.700000
gntR,3.000000,0.700000
LPU83_2175,6.000000,0.700000
nrd1,7.000000,0.400000
wrbA,9.000000,0.100000
LPU83_2190,8.000000,0.200000
ccmE,0.000000,0.100000
LPU83_1820,6.000000,0.700000
LPU83_2195,5.000000,1.000000
LPU83_1266,6.000000,0.700000
LPU83_1825,4.000000,1.000000
ald,9.000000,0.100000
LPU83_2200,6.000000,0.700000
