Proteina,T-statistic,p-value,log2FC
livG,-1.3235911216157457,0.25621846750774724,0.21358329372593055
LPU83_pLPU83b_0425,0.25540638269103727,0.8110046481306232,-0.09020778184130407
LPU83_pLPU83c_0735,0.46371554689336225,0.6669620670175694,-0.05019457626837465
tktA,0.4564561139576604,0.671748093027567,-0.3029399955451062
LPU83_pLPU83c_0745,0.22912187952077215,0.8300124526849267,-0.06644339943874655
LPU83_pLPU83c_0750,-0.8430407046289761,0.4466665808836258,0.04882760914809836
LPU83_pLPU83c_0750;LPU83_pLPU83d_1856,-2.2243307908016323,0.09017706482835264,0.5576857025678823
rluB3,0.24920379789534972,0.8154765302955806,-0.06952005926058291
LPU83_pLPU83b_0435,-0.25774814526372003,0.8093185593105618,0.08000901530531479
acrA,0.010248005887406122,0.9923141637457826,-0.0006786957217954637
hipO1,-0.09188004502609264,0.9312108929666061,0.009850057118740096
LPU83_3383,-0.37763876367920535,0.7248824178005269,0.11822844759199569
LPU83_pLPU83c_0765,-0.06767744293883717,0.949290293802943,0.003942773262373578
LPU83_pLPU83c_0770,0.7014348387157212,0.5216944987409862,-0.07666014069020832
mnmA,0.7950986374147412,0.4710689836953718,-0.19158554957074792
LPU83_pLPU83c_0775,0.45493306229912744,0.6727546187422068,-0.22340099002888358
LPU83_3409,1.3697749630561018,0.2426154243049341,-0.3197932889901356
glmM,0.7458289621585589,0.49721466823327354,-0.01647501957502584
LPU83_pLPU83b_0482,-1.7397431719255276,0.15688512711516872,0.4413123497120335
tolB3,3.182755386582299,0.03344695475532201,-0.061646364086087146
dapA,1.3616469697612548,0.24495692868710686,-0.11098041358168231
sqdB,2.1387497131520585,0.09922709686154861,-0.29973797865419627
LPU83_3439,-0.7797030084216342,0.4791228319959702,0.055334699038191104
LPU83_pLPU83c_0482,-1.7653966472445837,0.15225497170500316,0.3163095239690321
LPU83_pLPU83c_0800,0.2996220365110487,0.7793895814315501,-0.08210050050929141
LPU83_pLPU83c_0487,0.5481405555855497,0.612749501923151,-0.1345323657122428
mcpA7,0.8378533956977577,0.44925743249817696,-0.12775786641915232
mctP,0.9996620246265504,0.3740460921161684,-0.22054468327010923
ruvB,0.46995393166079824,0.6628644322769021,-0.02874579975786773
dppD,0.06610372248810246,0.9504672897957238,-0.023667041107236386
uxuA,1.2187135531545907,0.28991140270394794,-0.056527524059248435
gnd,1.2044528764222606,0.2948068930511633,-0.0766722301980387
LPU83_pLPU83d_0001,1.6589679511203235,0.17246099979957777,-0.08839915931876874
LPU83_pLPU83c_0522;ugpC3,0.04808719151062766,0.9639519701653358,-0.01609028142046398
fbaB,4.773404455704474,0.008818038072954235,-0.14311840002335074
LPU83_pLPU83c_0527,0.46579655990921004,0.6655935980940897,-0.18509760710790601
LPU83_3479,-3.5475333297378513,0.02385136388139624,0.31117336913005644
malK1,-2.414382704726238,0.07320660104954542,0.14632731511971286
LPU83_3484,-0.4098435268248486,0.7029200727679724,0.1766254717484106
LPU83_pLPU83d_0016,-0.6390377097159475,0.5575572607879078,0.049230577276308196
fabG9,-0.7656327604407231,0.48657568715761645,0.03641918182945503
alh-9,0.2933360782549635,0.7838546833647814,-0.02685933138657859
enhC,0.6445659188670401,0.5543121540598432,-0.04608724426852007
bioA,-0.08891346918351913,0.9334245011038349,0.05414386125746873
LPU83_3499,-0.9240458043059321,0.40775989432875337,0.16796589348587787
vllY,0.8053183941625015,0.46578113882466005,-0.1519562108346051
LPU83_3519,0.19538453570960604,0.8546154793702146,-0.029465624960032244
pepF,1.6563075927957325,0.17300082357031918,-0.028148663995423817
LPU83_3539,1.0790786854203818,0.34127761440791055,-0.40205151918989124
LPU83_pLPU83c_0602,0.18850983873170649,0.8596546488818714,-0.050531820051507026
LPU83_3544,1.439107927177011,0.22352286482149053,-0.09837582897567998
LPU83_3549,0.2880111605825509,0.7876450280270728,-0.01899276108183301
LPU83_pLPU83c_0612,-0.4739827284008112,0.660225690472031,0.1253341445660059
mltB5,-1.3903419671315322,0.2367887421572957,0.25576907211090116
LPU83_pLPU83c_0617,0.8079055332819917,0.46444990845479334,-0.06842051150783135
gltB3,0.7777705993349565,0.48014118624331703,-0.04939069521542194
Gcdh,1.6299058625332843,0.17845471162994136,-0.07439974173646746
dgdR,0.7107448862890283,0.5164888092551216,-0.4037137460595037
ibpA,-4.067987423277258,0.015248159288778701,0.4188361568991752
